No,SN Mesin,SN Kaset,Tipe Kaset,SN Kaset Cadangan,Tipe Kaset,SO-ID ,Status ,Tanggal kirim ,Tanggal perbaikan ,Hasil perbaikan ,Kategori Problem 
29,74UEA43N03-069549,76UWRB2SB894105,RB,76UWRB2SB885815,RB,,,,,,
30,74UEA43N03-069549,76UWRB2SB894095,RB,76UWRB2SB885805,RB,,,,,,
31,74UEA43N03-069494,76UWAB2SW754060,AB,76UWAB2SW751778,AB,,,,,,
32,74UEA43N03-069494,76UWRB2SB893713,RB,76UWRB2SB885806,RB,,,,,,
33,74UEA43N03-069494,76UWRB2SB893730,RB,76UWRB2SB885797,RB,,,,,,
34,74UEA43N03-069494,76UWRB2SB893736,RB,76UWRB2SB885761,RB,,,,,,
35,74UEA43N03-069494,76UWRB2SB893731,RB,76UWRB2SB885816,RB,,,,,,
36,74UEA43N03-069540,76UWAB2SW754270,AB,76UWAB2SW751793,AB,,,,,,
37,74UEA43N03-069540,76UWRB2SB893989,RB,76UWRB2SB885812,RB,,,,,,
38,74UEA43N03-069540,76UWRB2SB894060,RB,76UWRB2SB885813,RB,,,,,,
39,74UEA43N03-069540,76UWRB2SB894051,RB,76UWRB2SB885765,RB,,,,,,
40,74UEA43N03-069540,76UWRB2SB894059,RB,76UWRB2SB885764,RB,,,,,,
41,74UEA43N03-069557,76UWAB2SW754278,AB,76UWAB2SW751813,AB,,,,,,
42,74UEA43N03-069557,76UWRB2SB894065,RB,76UWRB2SB885795,RB,,,,,,
43,74UEA43N03-069557,76UWRB2SB894066,RB,76UWRB2SB885818,RB,,,,,,
44,74UEA43N03-069557,76UWRB2SB894080,RB,76UWRB2SB885819,RB,,,,,,
45,74UEA43N03-069557,76UWRB2SB894067,RB,76UWRB2SB885734,RB,,,,,,
46,74UEA43N03-069471,76UWAB2SW753825,AB,76UWAB2SW751816,AB,,,,,,
47,74UEA43N03-069471,76UWRB2SB892861,RB,76UWRB2SB885767,RB,,,,,,
48,74UEA43N03-069471,76UWRB2SB892863,RB,76UWRB2SB885760,RB,,,,,,
49,74UEA43N03-069471,76UWRB2SB892867,RB,76UWRB2SB885730,RB,,,,,,
50,74UEA43N03-069471,76UWRB2SB892862,RB,76UWRB2SB885766,RB,,,,,,
51,74UEA43N03-069476,76UWAB2SW754228,AB,76UWAB2SW751801,AB,,,,,,
52,74UEA43N03-069476,76UWRB2SB893511,RB,76UWRB2SB886480,RB,,,,,,
53,74UEA43N03-069476,76UWRB2SB893493,RB,76UWRB2SB886540,RB,,,,,,
54,74UEA43N03-069476,76UWRB2SB893486,RB,76UWRB2SB886313,RB,,,,,,
55,74UEA43N03-069476,76UWRB2SB893350,RB,76UWRB2SB886577,RB,,,,,,
56,74UEA43N03-069537,76UWAB2SW754258,AB,76UWAB2SW751791,AB,,,,,,
57,74UEA43N03-069537,76UWRB2SB893309,RB,76UWRB2SB886539,RB,,,,,,
58,74UEA43N03-069537,76UWRB2SB893340,RB,76UWRB2SB886330,RB,,,,,,
59,74UEA43N03-069537,76UWRB2SB893348,RB,76UWRB2SB886553,RB,,,,,,
60,74UEA43N03-069537,76UWRB2SB893357,RB,76UWRB2SB886579,RB,,,,,,
61,74UEA43N03-069583,76UWAB2SW754355,AB,76UWAB2SW751805,AB,,,,,,
62,74UEA43N03-069583,76UWRB2SB894683,RB,76UWRB2SB886373,RB,,,,,,
63,74UEA43N03-069583,76UWRB2SB894687,RB,76UWRB2SB886372,RB,,,,,,
64,74UEA43N03-069583,76UWRB2SB894686,RB,76UWRB2SB886359,RB,,,,,,
65,74UEA43N03-069583,76UWRB2SB894672,RB,76UWRB2SB886380,RB,,,,,,
66,74UEA43N03-069575,76UWAB2SW754315,AB,76UWAB2SW751790,AB,,,,,,
67,74UEA43N03-069575,76UWRB2SB894513,RB,76UWRB2SB886378,RB,,,,,,
68,74UEA43N03-069575,76UWRB2SB894489,RB,76UWRB2SB886379,RB,,,,,,
69,74UEA43N03-069575,76UWRB2SB894534,RB,76UWRB2SB886362,RB,,,,,,
70,74UEA43N03-069575,76UWRB2SB894533,RB,76UWRB2SB886363,RB,,,,,,
71,74UEA43N03-069560,76UWAB2SW754285,AB,76UWAB2SW751879,AB,,,,,,
72,74UEA43N03-069560,76UWRB2SB894038,RB,76UWRB2SB886531,RB,,,,,,
73,74UEA43N03-069560,76UWRB2SB894036,RB,76UWRB2SB886580,RB,,,,,,
74,74UEA43N03-069560,76UWRB2SB894030,RB,76UWRB2SB886543,RB,,,,,,
75,74UEA43N03-069560,76UWRB2SB893985,RB,76UWRB2SB886564,RB,,,,,,
76,74UEA43N03-069577,76UWAB2SW754406,AB,76UWAB2SW751866,AB,,,,,,
77,74UEA43N03-069577,76UWRB2SB894671,RB,76UWRB2SB886503,RB,,,,,,
78,74UEA43N03-069577,76UWRB2SB894659,RB,76UWRB2SB886562,RB,,,,,,
79,74UEA43N03-069577,76UWRB2SB894674,RB,76UWRB2SB886530,RB,,,,,,
80,74UEA43N03-069577,76UWRB2SB894670,RB,76UWRB2SB886550,RB,,,,,,
81,74UEA43N03-069570,76UWAB2SW754289,AB,76UWAB2SW751804,AB,,,,,,
82,74UEA43N03-069570,76UWRB2SB894119,RB,76UWRB2SB886426,RB,,,,,,
83,74UEA43N03-069570,76UWRB2SB894123,RB,76UWRB2SB886329,RB,,,,,,
84,74UEA43N03-069570,76UWRB2SB894127,RB,76UWRB2SB886397,RB,,,,,,
85,74UEA43N03-069570,76UWRB2SB894128,RB,76UWRB2SB886466,RB,,,,,,
86,74UEA43N03-069580,76UWAB2SW754414,AB,76UWAB2SW751819,AB,,,,,,
87,74UEA43N03-069580,76UWRB2SB894701,RB,76UWRB2SB886374,RB,,,,,,
88,74UEA43N03-069580,76UWRB2SB894692,RB,76UWRB2SB886429,RB,,,,,,
89,74UEA43N03-069580,76UWRB2SB894694,RB,76UWRB2SB886377,RB,,,,,,
90,74UEA43N03-069580,76UWRB2SB894700,RB,76UWRB2SB886464,RB,,,,,,
91,74UEA43N03-069468,76UWAB2SW753791,AB,76UWAB2SW751800,AB,,,,,,
92,74UEA43N03-069468,76UWRB2SB892708,RB,76UWRB2SB886465,RB,,,,,,
93,74UEA43N03-069468,76UWRB2SB892711,RB,76UWRB2SB886460,RB,,,,,,
94,74UEA43N03-069468,76UWRB2SB892710,RB,76UWRB2SB886422,RB,,,,,,
95,74UEA43N03-069468,76UWRB2SB892702,RB,76UWRB2SB886365,RB,,,,,,
96,74UEA43N03-069513,76UWAB2SW754339,AB,76UWAB2SW751792,AB,,,,,,
97,74UEA43N03-069513,76UWRB2SB894169,RB,76UWRB2SB886358,RB,,,,,,
98,74UEA43N03-069513,76UWRB2SB894166,RB,76UWRB2SB886425,RB,,,,,,
99,74UEA43N03-069513,76UWRB2SB894174,RB,76UWRB2SB886421,RB,,,,,,
100,74UEA43N03-069513,76UWRB2SB894160,RB,76UWRB2SB886430,RB,,,,,,
101,74UEA43N03-069407,76UWAB2SW754049,AB,76UWAB2SW751814,AB,,,,,,
102,74UEA43N03-069407,76UWRB2SB893531,RB,76UWRB2SB886561,RB,,,,,,
103,74UEA43N03-069407,76UWRB2SB893526,RB,76UWRB2SB886535,RB,,,,,,
104,74UEA43N03-069407,76UWRB2SB893528,RB,76UWRB2SB886481,RB,,,,,,
105,74UEA43N03-069407,76UWRB2SB893426,RB,76UWRB2SB886536,RB,,,,,,
106,74UEA43N03-069499,76UWAB2SW754203,AB,76UWAB2SW751803,AB,,,,,,
107,74UEA43N03-069499,76UWRB2SB893629,RB,76UWRB2SB889900,RB,,,,,,
108,74UEA43N03-069499,76UWRB2SB893620,RB,76UWRB2SB889887,RB,,,,,,
109,74UEA43N03-069499,76UWRB2SB893625,RB,76UWRB2SB889683,RB,,,,,,
110,74UEA43N03-069499,76UWRB2SB893435,RB,76UWRB2SB889687,RB,,,,,,
111,74UEA43N03-069501,76UWAB2SW754257,AB,76UWAB2SW751787,AB,,,,,,
112,74UEA43N03-069501,76UWRB2SB894039,RB,76UWRB2SB889686,RB,,,,,,
113,74UEA43N03-069501,76UWRB2SB894055,RB,76UWRB2SB889681,RB,,,,,,
114,74UEA43N03-069501,76UWRB2SB894056,RB,76UWRB2SB889823,RB,,,,,,
115,74UEA43N03-069501,76UWRB2SB893987,RB,76UWRB2SB889917,RB,,,,,,
116,74UEA43N03-069481,76UWAB2SW754223,AB,76UWAB2SW751767,AB,,,,,,
117,74UEA43N03-069481,76UWRB2SB894006,RB,76UWRB2SB889663,RB,,,,,,
118,74UEA43N03-069481,76UWRB2SB893994,RB,76UWRB2SB889889,RB,,,,,,
119,74UEA43N03-069481,76UWRB2SB894004,RB,76UWRB2SB889892,RB,,,,,,
120,74UEA43N03-069481,76UWRB2SB893991,RB,76UWRB2SB889901,RB,,,,,,
121,74UEA43N03-069462,76UWAB2SW754070,AB,76UWAB2SW751776,AB,,,,,,
122,74UEA43N03-069462,76UWRB2SB893762,RB,76UWRB2SB889803,RB,,,,,,
123,74UEA43N03-069462,76UWRB2SB893777,RB,76UWRB2SB889797,RB,,,,,,
124,74UEA43N03-069462,76UWRB2SB893776,RB,76UWRB2SB889802,RB,,,,,,
125,74UEA43N03-069462,76UWRB2SB893760,RB,76UWRB2SB889822,RB,,,,,,
126,74UEA43N03-069479,76UWAB2SW754089,AB,76UWAB2SW751807,AB,,,,,,
127,74UEA43N03-069479,76UWRB2SB893767,RB,76UWRB2SB886485,RB,,,,,,
128,74UEA43N03-069479,76UWRB2SB893778,RB,76UWRB2SB886478,RB,,,,,,
129,74UEA43N03-069479,76UWRB2SB893772,RB,76UWRB2SB886552,RB,,,,,,
130,74UEA43N03-069479,76UWRB2SB893769,RB,76UWRB2SB886574,RB,,,,,,
131,74UEA43N03-069565,76UWAB2SW754298,AB,76UWAB2SW751775,AB,,,,,,
132,74UEA43N03-069565,76UWRB2SB894110,RB,76UWRB2SB886431,RB,,,,,,
133,74UEA43N03-069565,76UWRB2SB893833,RB,76UWRB2SB886447,RB,,,,,,
134,74UEA43N03-069565,76UWRB2SB894108,RB,76UWRB2SB889660,RB,,,,,,
135,74UEA43N03-069565,76UWRB2SB894109,RB,76UWRB2SB889659,RB,,,,,,
136,74UEA43N03-069515,76UWAB2SW754342,AB,76UWAB2SW751777,AB,,,,,,
137,74UEA43N03-069515,76UWRB2SB894175,RB,76UWRB2SB889674,RB,,,,,,
138,74UEA43N03-069515,76UWRB2SB894167,RB,76UWRB2SB889812,RB,,,,,,
139,74UEA43N03-069515,76UWRB2SB894162,RB,76UWRB2SB889851,RB,,,,,,
140,74UEA43N03-069515,76UWRB2SB894180,RB,76UWRB2SB889819,RB,,,,,,
141,74UEA43N03-069550,76UWAB2SW754291,AB,76UWAB2SW751799,AB,,,,,,
142,74UEA43N03-069550,76UWRB2SB894142,RB,76UWRB2SB886563,RB,,,,,,
143,74UEA43N03-069550,76UWRB2SB894132,RB,76UWRB2SB886526,RB,,,,,,
144,74UEA43N03-069550,76UWRB2SB894152,RB,76UWRB2SB886524,RB,,,,,,
145,74UEA43N03-069550,76UWRB2SB894139,RB,76UWRB2SB886576,RB,,,,,,
146,74UEA43N03-069544,76UWAB2SW754263,AB,76UWAB2SW751797,AB,,,,,,
147,74UEA43N03-069544,76UWRB2SB894442,RB,76UWRB2SB889645,RB,,,,,,
148,74UEA43N03-069544,76UWRB2SB894395,RB,76UWRB2SB889795,RB,,,,,,
149,74UEA43N03-069544,76UWRB2SB894421,RB,76UWRB2SB889824,RB,,,,,,
150,74UEA43N03-069544,76UWRB2SB894445,RB,76UWRB2SB889814,RB,,,,,,
151,74UEA43N03-069539,76UWAB2SW754306,AB,76UWAB2SW751817,AB,,,,,,
152,74UEA43N03-069539,76UWRB2SB894106,RB,76UWRB2SB889871,RB,,,,,,
153,74UEA43N03-069539,76UWRB2SB894114,RB,76UWRB2SB889910,RB,,,,,,
154,74UEA43N03-069539,76UWRB2SB893884,RB,76UWRB2SB889895,RB,,,,,,
155,74UEA43N03-069539,76UWRB2SB893852,RB,76UWRB2SB889899,RB,,,,,,
156,74UEA43N03-069568,76UWAB2SW754286,AB,76UWAB2SW751796,AB,,,,,,
157,74UEA43N03-069568,76UWRB2SB893865,RB,76UWRB2SB889679,RB,,,,,,
158,74UEA43N03-069568,76UWRB2SB894050,RB,76UWRB2SB889643,RB,,,,,,
159,74UEA43N03-069568,76UWRB2SB894084,RB,76UWRB2SB886551,RB,,,,,,
160,74UEA43N03-069568,76UWRB2SB894085,RB,76UWRB2SB886521,RB,,,,,,
161,74UEA43N03-069582,76UWAB2SW754254,AB,76UWAB2SW752362,AB,,,,,,
162,74UEA43N03-069582,76UWRB2SB894028,RB,76UWRB2SB889977,RB,,,,,,
163,74UEA43N03-069582,76UWRB2SB894029,RB,76UWRB2SB889996,RB,,,,,,
164,74UEA43N03-069582,76UWRB2SB894026,RB,76UWRB2SB889974,RB,,,,,,
165,74UEA43N03-069582,76UWRB2SB894022,RB,76UWRB2SB890265,RB,,,,,,
166,74UEA43N03-069438,76UWAB2SW754218,AB,76UWAB2SW752372,AB,,,,,,
167,74UEA43N03-069438,76UWRB2SB893453,RB,76UWRB2SB890260,RB,,,,,,
168,74UEA43N03-069438,76UWRB2SB893383,RB,76UWRB2SB890270,RB,,,,,,
169,74UEA43N03-069438,76UWRB2SB893447,RB,76UWRB2SB890271,RB,,,,,,
170,74UEA43N03-069438,76UWRB2SB893446,RB,76UWRB2SB889963,RB,,,,,,
171,74UEA43N03-069521,76UWAB2SW754324,AB,76UWAB2SW752267,AB,,,,,,
172,74UEA43N03-069521,76UWRB2SB894524,RB,76UWRB2SB889948,RB,,,,,,
173,74UEA43N03-069521,76UWRB2SB894523,RB,76UWRB2SB890008,RB,,,,,,
174,74UEA43N03-069521,76UWRB2SB894521,RB,76UWRB2SB889970,RB,,,,,,
175,74UEA43N03-069521,76UWRB2SB894506,RB,76UWRB2SB890014,RB,,,,,,
176,74UEA43N03-069505,76UWAB2SW754316,AB,76UWAB2SW752350,AB,,,,,,
177,74UEA43N03-069505,76UWRB2SB894557,RB,76UWRB2SB890025,RB,,,,,,
178,74UEA43N03-069505,76UWRB2SB894541,RB,76UWRB2SB890258,RB,,,,,,
179,74UEA43N03-069505,76UWRB2SB894496,RB,76UWRB2SB890020,RB,,,,,,
180,74UEA43N03-069505,76UWRB2SB894530,RB,76UWRB2SB890011,RB,,,,,,
181,74UEA43N03-069569,76UWAB2SW754267,AB,76UWAB2SW752364,AB,,,,,,
182,74UEA43N03-069569,76UWRB2SB894074,RB,76UWRB2SB889936,RB,,,,,,
183,74UEA43N03-069569,76UWRB2SB894077,RB,76UWRB2SB890022,RB,,,,,,
184,74UEA43N03-069569,76UWRB2SB894078,RB,76UWRB2SB890010,RB,,,,,,
185,74UEA43N03-069569,76UWRB2SB894079,RB,76UWRB2SB890267,RB,,,,,,
186,74UEA43N03-069444,76UWAB2SW753943,AB,76UWAB2SW752243,AB,,,,,,
187,74UEA43N03-069444,76UWRB2SB893358,RB,76UWRB2SB890262,RB,,,,,,
188,74UEA43N03-069444,76UWRB2SB893322,RB,76UWRB2SB890253,RB,,,,,,
189,74UEA43N03-069444,76UWRB2SB893323,RB,76UWRB2SB890009,RB,,,,,,
190,74UEA43N03-069444,76UWRB2SB893295,RB,76UWRB2SB890266,RB,,,,,,
191,74UEA43N03-069571,76UWAB2SW754292,AB,76UWAB2SW752238,AB,,,,,,
192,74UEA43N03-069571,76UWRB2SB894097,RB,76UWRB2SB890244,RB,,,,,,
193,74UEA43N03-069571,76UWRB2SB894130,RB,76UWRB2SB890377,RB,,,,,,
194,74UEA43N03-069571,76UWRB2SB894135,RB,76UWRB2SB889965,RB,,,,,,
195,74UEA43N03-069571,76UWRB2SB894134,RB,76UWRB2SB890389,RB,,,,,,
196,74UEA43N03-069490,76UWAB2SW754082,AB,76UWAB2SW752276,AB,,,,,,
197,74UEA43N03-069490,76UWRB2SB893952,RB,76UWRB2SB890015,RB,,,,,,
198,74UEA43N03-069490,76UWRB2SB893930,RB,76UWRB2SB890017,RB,,,,,,
199,74UEA43N03-069490,76UWRB2SB893944,RB,76UWRB2SB890024,RB,,,,,,
200,74UEA43N03-069490,76UWRB2SB893941,RB,76UWRB2SB890023,RB,,,,,,
201,74UEA43N03-069518,76UWAB2SW754334,AB,76UWAB2SW752275,AB,,,,,,
202,74UEA43N03-069518,76UWRB2SB894501,RB,76UWRB2SB890364,RB,,,,,,
203,74UEA43N03-069518,76UWRB2SB894486,RB,76UWRB2SB890391,RB,,,,,,
204,74UEA43N03-069518,76UWRB2SB894492,RB,76UWRB2SB890233,RB,,,,,,
205,74UEA43N03-069518,76UWRB2SB894498,RB,76UWRB2SB890229,RB,,,,,,
206,74UEA43N03-069491,76UWAB2SW753823,AB,76UWAB2SW752237,AB,,,,,,
207,74UEA43N03-069491,76UWRB2SB893054,RB,76UWRB2SB890018,RB,,,,,,
208,74UEA43N03-069491,76UWRB2SB893119,RB,76UWRB2SB889958,RB,,,,,,
209,74UEA43N03-069491,76UWRB2SB893130,RB,76UWRB2SB890227,RB,,,,,,
210,74UEA43N03-069491,76UWRB2SB893127,RB,76UWRB2SB890371,RB,,,,,,
211,74UEA43N03-069450,76UWAB2SW753953,AB,76UWAB2SW752279,AB,,,,,,
212,74UEA43N03-069450,76UWRB2SB893302,RB,76UWRB2SB889788,RB,,,,,,
213,74UEA43N03-069450,76UWRB2SB893308,RB,76UWRB2SB889750,RB,,,,,,
214,74UEA43N03-069450,76UWRB2SB893307,RB,76UWRB2SB889748,RB,,,,,,
215,74UEA43N03-069450,76UWRB2SB893313,RB,76UWRB2SB889759,RB,,,,,,
216,74UEA43N03-069414,76UWAB2SW753834,AB,76UWAB2SW752354,AB,,,,,,
217,74UEA43N03-069414,76UWRB2SB892899,RB,76UWRB2SB889761,RB,,,,,,
218,74UEA43N03-069414,76UWRB2SB892534,RB,76UWRB2SB889765,RB,,,,,,
219,74UEA43N03-069414,76UWRB2SB892506,RB,76UWRB2SB889793,RB,,,,,,
220,74UEA43N03-069414,76UWRB2SB892638,RB,76UWRB2SB889850,RB,,,,,,
221,74UEA43N03-069434,76UWAB2SW753804,AB,76UWAB2SW752291,AB,,,,,,
222,74UEA43N03-069434,76UWRB2SB892787,RB,76UWRB2SB889787,RB,,,,,,
223,74UEA43N03-069434,76UWRB2SB892784,RB,76UWRB2SB889773,RB,,,,,,
224,74UEA43N03-069434,76UWRB2SB892785,RB,76UWRB2SB889791,RB,,,,,,
225,74UEA43N03-069434,76UWRB2SB892783,RB,76UWRB2SB889790,RB,,,,,,
226,74UEA43N03-069437,76UWAB2SW754206,AB,76UWAB2SW752277,AB,,,,,,
227,74UEA43N03-069437,76UWRB2SB893389,RB,76UWRB2SB889903,RB,,,,,,
228,74UEA43N03-069437,76UWRB2SB893418,RB,76UWRB2SB889650,RB,,,,,,
229,74UEA43N03-069437,76UWRB2SB893362,RB,76UWRB2SB889854,RB,,,,,,
230,74UEA43N03-069437,76UWRB2SB893360,RB,76UWRB2SB889905,RB,,,,,,
231,74UEA43N03-069507,76UWAB2SW754332,AB,76UWAB2SW752313,AB,,,,,,
232,74UEA43N03-069507,76UWRB2SB894487,RB,76UWRB2SB890273,RB,,,,,,
233,74UEA43N03-069507,76UWRB2SB894490,RB,76UWRB2SB890230,RB,,,,,,
234,74UEA43N03-069507,76UWRB2SB894485,RB,76UWRB2SB890250,RB,,,,,,
235,74UEA43N03-069507,76UWRB2SB894502,RB,76UWRB2SB890259,RB,,,,,,
236,74UEA43N03-069573,76UWAB2SW754328,AB,76UWAB2SW752357,AB,,,,,,
237,74UEA43N03-069573,76UWRB2SB894544,RB,76UWRB2SB890269,RB,,,,,,
238,74UEA43N03-069573,76UWRB2SB894504,RB,76UWRB2SB890263,RB,,,,,,
239,74UEA43N03-069573,76UWRB2SB894555,RB,76UWRB2SB890232,RB,,,,,,
240,74UEA43N03-069573,76UWRB2SB894554,RB,76UWRB2SB890226,RB,,,,,,
241,74UEA43N03-069514,76UWAB2SW754335,AB,76UWAB2SW752361,AB,,,,,,
242,74UEA43N03-069514,76UWRB2SB893993,RB,76UWRB2SB890005,RB,,,,,,
243,74UEA43N03-069514,76UWRB2SB894491,RB,76UWRB2SB889984,RB,,,,,,
244,74UEA43N03-069514,76UWRB2SB894494,RB,76UWRB2SB889995,RB,,,,,,
245,74UEA43N03-069514,76UWRB2SB894493,RB,76UWRB2SB890345,RB,,,,,,
246,74UEA43N03-069553,76UWAB2SW754300,AB,76UWAB2SW752346,AB,,,,,,
247,74UEA43N03-069553,76UWRB2SB894040,RB,76UWRB2SB890366,RB,,,,,,
248,74UEA43N03-069553,76UWRB2SB894027,RB,76UWRB2SB890264,RB,,,,,,
249,74UEA43N03-069553,76UWRB2SB894041,RB,76UWRB2SB890357,RB,,,,,,
250,74UEA43N03-069553,76UWRB2SB894042,RB,76UWRB2SB890272,RB,,,,,,
251,74UEA43N03-069567,76UWAB2SW754312,AB,76UWAB2SW752234,AB,,,,,,
252,74UEA43N03-069567,76UWRB2SB894136,RB,76UWRB2SB890373,RB,,,,,,
253,74UEA43N03-069567,76UWRB2SB894636,RB,76UWRB2SB890012,RB,,,,,,
254,74UEA43N03-069567,76UWRB2SB894651,RB,76UWRB2SB889789,RB,,,,,,
255,74UEA43N03-069567,76UWRB2SB894637,RB,76UWRB2SB889763,RB,,,,,,
256,74UEA43N03-069396,76UWAB2SW753274,AB,76UWAB2SW752369,AB,,,,,,
257,74UEA43N03-069396,76UWRB2SB890122,RB,76UWRB2SB889751,RB,,,,,,
258,74UEA43N03-069396,76UWRB2SB890120,RB,76UWRB2SB889775,RB,,,,,,
259,74UEA43N03-069396,76UWRB2SB890118,RB,76UWRB2SB889842,RB,,,,,,
260,74UEA43N03-069396,76UWRB2SB890062,RB,76UWRB2SB889774,RB,,,,,,
261,74UEA43N03-069386,76UWAB2SW753313,AB,76UWAB2SW752281,AB,,,,,,
262,74UEA43N03-069386,76UWRB2SB890752,RB,76UWRB2SB886519,RB,,,,,,
263,74UEA43N03-069386,76UWRB2SB890754,RB,76UWRB2SB886498,RB,,,,,,
264,74UEA43N03-069386,76UWRB2SB890761,RB,76UWRB2SB886391,RB,,,,,,
265,74UEA43N03-069386,76UWRB2SB890765,RB,76UWRB2SB886442,RB,,,,,,
266,74UEA43N03-069408,76UWAB2SW753921,AB,76UWAB2SW752367,AB,,,,,,
267,74UEA43N03-069408,76UWRB2SB893328,RB,76UWRB2SB886537,RB,,,,,,
268,74UEA43N03-069408,76UWRB2SB893469,RB,76UWRB2SB886496,RB,,,,,,
269,74UEA43N03-069408,76UWRB2SB893475,RB,76UWRB2SB886392,RB,,,,,,
270,74UEA43N03-069408,76UWRB2SB893336,RB,76UWRB2SB886501,RB,,,,,,
271,74UEA43N03-069374,76UWAB2SW753262,AB,76UWAB2SW752228,AB,,,,,,
272,74UEA43N03-069374,76UWRB2SB890053,RB,76UWRB2SB889989,RB,,,,,,
273,74UEA43N03-069374,76UWRB2SB890109,RB,76UWRB2SB890238,RB,,,,,,
274,74UEA43N03-069374,76UWRB2SB890103,RB,76UWRB2SB890231,RB,,,,,,
275,74UEA43N03-069374,76UWRB2SB890113,RB,76UWRB2SB890261,RB,,,,,,
276,74UEA43N03-069506,76UWAB2SW754314,AB,76UWAB2SW752290,AB,,,,,,
277,74UEA43N03-069506,76UWRB2SB894573,RB,76UWRB2SB889637,RB,,,,,,
278,74UEA43N03-069506,76UWRB2SB894569,RB,76UWRB2SB889739,RB,,,,,,
279,74UEA43N03-069506,76UWRB2SB894564,RB,76UWRB2SB889738,RB,,,,,,
280,74UEA43N03-069506,76UWRB2SB894572,RB,76UWRB2SB889768,RB,,,,,,
281,74UEA43N03-069511,76UWAB2SW754333,AB,76UWAB2SW752286,AB,,,,,,
282,74UEA43N03-069511,76UWRB2SB894532,RB,76UWRB2SB886522,RB,,,,,,
283,74UEA43N03-069511,76UWRB2SB894531,RB,76UWRB2SB886439,RB,,,,,,
284,74UEA43N03-069511,76UWRB2SB894495,RB,76UWRB2SB886423,RB,,,,,,
285,74UEA43N03-069511,76UWRB2SB894528,RB,76UWRB2SB886390,RB,,,,,,
286,74UEA43N03-069578,76UWAB2SW754405,AB,76UWAB2SW752278,AB,,,,,,
287,74UEA43N03-069578,76UWRB2SB894677,RB,76UWRB2SB889762,RB,,,,,,
288,74UEA43N03-069578,76UWRB2SB894682,RB,76UWRB2SB889667,RB,,,,,,
289,74UEA43N03-069578,76UWRB2SB894679,RB,76UWRB2SB886389,RB,,,,,,
290,74UEA43N03-069578,76UWRB2SB894675,RB,76UWRB2SB886505,RB,,,,,,
291,74UEA43N03-069500,76UWAB2SW754281,AB,76UWAB2SW752219,AB,,,,,,
292,74UEA43N03-069500,76UWRB2SB894035,RB,76UWRB2SB886443,RB,,,,,,
293,74UEA43N03-069500,76UWRB2SB894031,RB,76UWRB2SB886448,RB,,,,,,
